Línea de producto;Producto
Almacen;aceite_vinagre_y_sal
Almacen;aceitunas_y_encurtidos
Perfumeria;acondicionador_y_mascarilla
Perfumeria;afeitado_y_cuidado_para_hombre
Almacen;agua
Almacen;alimentacion_infantil
Hogar;arreglos
Almacen;arroz
Almacen;arroz_y_pasta
Almacen;atun_y_otras_conservas_de_pescado
Frescos;aves_y_jamon_cocido
Frescos;aves_y_pollo
Almacen;azucar_y_edulcorante
Frescos;bacon_y_salchichas
Perfumeria;bases_de_maquillaje_y_corrector
Almacen;berberechos_y_mejillones
Bazar;biberon_chupete_y_menaje
Almacen;bifidus
Almacen;bolleria_de_horno
Almacen;bolleria_envasada
Almacen;cacao_soluble_y_chocolate_a_la_taza
Almacen;cafe_capsula_y_monodosis
Almacen;cafe_molido_y_en_grano
Almacen;cafe_soluble_y_otras_bebidas
Frescos;carne
Frescos;carne_congelada
Frescos;cerdo
Almacen;cereales
Bebidas;cerveza
Bebidas;cerveza_sin_alcohol
Perfumeria;champu
Almacen;chicles_y_caramelos
Almacen;chocolate
Frescos;chopped_y_mortadela
Perfumeria;coloracion_cabello
Perfumeria;colorete_y_polvos
Frescos;conejo_y_cordero
Almacen;conservas_de_verdura_y_frutas
Perfumeria;cuidado_corporal
Perfumeria;cuidado_e_higiene_facial
Perfumeria;depilacion
Perfumeria;desodorante
Limpieza;detergente_y_suavizante_ropa
Almacen;embutido
Almacen;embutido_curado
Frescos;empanados_y_elaborados
Almacen;especias
Limpieza;estropajo_bayeta_y_guantes
Perfumeria;fijacion_cabello
Otros;fitoterapia
Almacen;flan_y_natillas
Frescos;fruta
Frescos;fruta_variada
Almacen;frutos_secos_y_fruta_desecada
Almacen;galletas
Mascota;gato
Almacen;gazpacho_y_cremas
Limpieza;gel_y_jabon_de_manos
Almacen;gelatina_y_otros_postres
Almacen;golosinas
Frescos;hamburguesas_y_picadas
Almacen;harina_y_preparado_reposteria
Congelados;helados
Congelados;hielo
Limpieza;higiene_bucal
Limpieza;higiene_intima
Limpieza;higiene_y_cuidado
Almacen;huevos
Limpieza;insecticida_y_ambientador
Bebidas;isotonico_y_energetico
Almacen;jamon_serrano
Perfumeria;labios
Almacen;leche_y_bebidas_vegetales
Frescos;lechuga_y_ensalada_preparada
Almacen;legumbres
Limpieza;lejia_y_liquidos_fuertes
Bebidas;licores
Limpieza;limpiacristales
Limpieza;limpiahogar_y_friegasuelos
Limpieza;limpieza_bano_y_wc
Limpieza;limpieza_cocina
Limpieza;limpieza_muebles_y_multiusos
Limpieza;limpieza_vajilla
Perfumeria;manicura_y_pedicura
Frescos;mantequilla_y_margarina
Frescos;marisco
Almacen;mayonesa_ketchup_y_mostaza
Frescos;melocoton_y_pina
Almacen;menaje_y_conservacion_de_alimentos
Almacen;mermelada_y_miel
Frescos;naranja
Otros;ojos
Almacen;otras_salsas
Almacen;pan_de_horno
Almacen;pan_de_molde_y_otras_especialidades
Almacen;pan_tostado_y_rallado
Limpieza;papel_higienico_y_celulosa
Otros;parafarmacia
Almacen;pasta_y_fideos
Almacen;patatas_fritas_y_snacks
Almacen;pate_y_sobrasada
Perfumeria;peines_y_accesorios
Perfumeria;perfume_y_colonia
Mascota;perro
Frescos;pescado
Frescos;pescado_congelado
Frescos;pescado_en_bandeja
Frescos;pescado_fresco
Frescos;pez_y_otros
Almacen;picos_rosquilletas_y_picatostes
Limpieza;pilas_y_bolsas_de_basura
Hogar;pinceles_y_brochas
Almacen;pizzas
Comida;platos_preparados_calientes
Comida;platos_preparados_frios
Almacen;postres_de_soja
Perfumeria;protector_solar_y_aftersun
Almacen;queso_curado_semicurado_y_tierno
Almacen;queso_lonchas_rallado_y_en_porciones
Almacen;queso_untable_y_fresco
Bebidas;refresco_de_cola
Bebidas;refresco_de_naranja_y_de_limon
Bebidas;refresco_de_te_y_sin_gas
Almacen;salazones_y_ahumados
Bebidas;sidra_y_cava
Almacen;sopa_y_caldo
Almacen;tartas_y_churros
Almacen;tartas_y_pasteles
Almacen;te_e_infusiones
Bebidas;tinto_de_verano_y_sangria
Perfumeria;toallitas_y_panales
Frescos;tomate
Frescos;tomate_y_otros_sabores
Bebidas;tonica_y_bitter
Almacen;tortitas
Limpieza;utensilios_de_limpieza_y_calzado
Frescos;vacuno
Hogar;velas_y_decoracion
Frescos;verdura
Bebidas;vino_blanco
Bebidas;vino_lambrusco_y_espumoso
Bebidas;vino_rosado
Bebidas;vino_tinto
Almacen;yogures_desnatados
Almacen;yogures_griegos
Almacen;yogures_liquidos
Almacen;yogures_naturales_y_sabores
Almacen;yogures_y_postres_infantiles
fACUNDO;ADSSADASD
